	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
RRP8	NA	NA	0.928	1.094	NA	1.21	NA	NA	NA
SI1L1	NA	NA	NA	0.833	NA	NA	NA	NA	NA
CYB5B	NA	NA	1.11	NA	NA	1.98	NA	NA	1.23
PRP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SERA	NA	0.889	0.949	NA	1.08	NA	0.794	0.822	1.106
NDUS4	NA	0.91	NA	NA	1.114	NA	NA	0.859	0.998
RHG06	NA	1.05	NA	NA	NA	NA	NA	NA	NA
DC1L2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSMD3	NA	NA	1.048	NA	NA	1.154	1.335	NA	1.038
PAPS1	1.029	NA	1.132	NA	NA	1.004	0.795	NA	1.139
ZW10	1.086	0.952	NA	0.887	1.064	NA	0.899	0.84	NA
B4GT5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNUT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPAA1	NA	0.902	NA	NA	1.189	1.154	NA	0.908	NA
DAPK3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TGFI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP5Z1	NA	0.927	NA	NA	1.121	1.192	NA	1.016	NA
HS12A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTIF	1.065	0.958	1.025	1.025	1.059	1.218	0.906	0.856	1.133
VIP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
M3K7	NA	NA	NA	NA	NA	NA	15.776	NA	NA
MCA3	NA	NA	NA	NA	NA	NA	0.874	NA	1.008
RIPK2	1.149	0.925	1.05	NA	1.027	1.164	0.787	0.775	1.094
WDR62	NA	NA	NA	NA	1.287	1.571	NA	0.775	NA
HNRPR	NA	NA	0.991	NA	NA	0.939	NA	NA	0.949
PRPF3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TXNL1	NA	0.94	NA	NA	NA	NA	NA	NA	NA
TPD54	NA	NA	NA	NA	1.345	NA	NA	0.997	NA
EMC8	NA	1.065	NA	1.115	NA	NA	NA	NA	NA
P52K	0.179	0.997	0.985	0.947	1.154	1.135	0.869	0.891	1.125
SYNJ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FIBP	NA	0.955	0.807	NA	1.082	NA	0.748	0.841	NA
IF4G3	1.177	1.07	1.093	1.066	1.213	1.126	0.924	0.88	1.139
MTG8R	NA	NA	NA	NA	NA	NA	NA	NA	0.683
PPIH	NA	0.877	NA	NA	1.191	NA	NA	0.817	NA
SUV91	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTRA2	1.485	1.23	0.936	1.329	2.262	1.04	1.034	1.516	0.936
ARK72	NA	NA	NA	NA	NA	NA	NA	NA	NA
E41L2	NA	NA	0.664	1.051	NA	0.723	0.973	NA	0.817
TGON2	NA	NA	NA	1.303	NA	NA	NA	NA	NA
LTOR5	1.137	0.919	0.889	0.966	1.133	1.163	0.91	0.875	1.096
MED7	NA	NA	NA	NA	NA	NA	NA	NA	NA
WIPF1	0.863	0.877	0.953	0.922	NA	1.098	0.872	0.857	1.098
AT8B1	1.231	0.933	0.662	0.981	1.091	0.87	0.804	0.892	0.646
FOXO3	1.109	0.956	NA	1.088	1.112	1.107	0.841	0.855	1.118
AKA10	NA	0.981	0.911	NA	NA	1.128	NA	NA	1.019
DENR	NA	1.101	NA	NA	NA	NA	NA	NA	NA
PPIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
XPOT	NA	NA	1.106	NA	NA	1.245	NA	NA	1.169
SPY2	NA	NA	NA	NA	1.323	NA	3.854	1.02	NA
DNPH1	1.038	0.927	0.984	0.872	1.061	NA	0.867	0.582	NA
TIM44	NA	0.956	NA	NA	1.181	NA	NA	0.868	NA
TPPC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHM2A	NA	NA	NA	0.953	NA	NA	0.746	NA	NA
