	LacZ_enriched_722	LacZ_723	lacZ_enriched_815	AC2_enriched_722	AC2_723	AC2_enriched_815	AC6_enriched_722	AC6_723	AC6_enriched_815
PR40B	NA	NA	0.98	NA	NA	NA	NA	NA	NA
ARMC6	1.331	0.929	1.055	NA	1.084	NA	1.09	NA	NA
ANR54	NA	0.967	0.902	0.829	1.516	1.274	0.677	0.939	1.182
H3C	NA	0.79	0.652	NA	NA	NA	NA	NA	NA
JMJD6	NA	NA	NA	NA	NA	NA	NA	NA	0.964
PPR18	1.371	NA	0.976	1.533	NA	1.276	0.905	0.86	1.103
STEAL	NA	NA	NA	NA	NA	1.325	NA	NA	NA
CAVN1	NA	0.878	NA	NA	NA	0.986	NA	NA	NA
ZCHC8	NA	NA	1.477	NA	NA	1.667	1.034	NA	1.171
M18BP	1.087	0.937	NA	0.052	1.101	1.157	0.139	0.812	NA
MAST2	NA	NA	NA	NA	NA	1.52	NA	NA	NA
DHX57	NA	NA	NA	NA	NA	5.818	NA	NA	4.287
RM54	NA	NA	NA	NA	NA	NA	NA	NA	NA
MBOA5	0.793	0.872	1.046	0.947	1.046	1.144	0.87	0.849	NA
CDC73	NA	NA	NA	NA	NA	NA	NA	NA	NA
HRG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2H2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
RM14	NA	NA	NA	NA	NA	NA	NA	NA	NA
S27A4	NA	NA	0.664	NA	NA	0.922	NA	NA	NA
C2D1A	NA	NA	0.504	NA	NA	NA	NA	NA	0.804
TATD1	NA	NA	NA	NA	NA	1.343	NA	NA	1.26
EDC4	NA	NA	0.934	NA	NA	1.184	NA	NA	1.19
CEP85	NA	NA	NA	NA	NA	1.219	NA	NA	NA
PRP8	NA	1.024	NA	NA	NA	1.195	NA	0.922	NA
SCYL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GOLM2	1.325	0.928	3.964	0.952	1.092	3.194	NA	0.835	5.444
RHGBA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNNM4	NA	NA	NA	NA	NA	NA	NA	NA	NA
NFRKB	NA	NA	0.926	0.892	NA	1.1	0.852	0.824	1.017
MZT2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAHD1	1.032	1.146	NA	0.903	NA	0.748	0.762	NA	0.622
RL22L	NA	NA	NA	NA	NA	NA	NA	NA	1.434
ALKB5	0.971	NA	0.465	0.738	NA	0.886	0.917	NA	0.949
F171B	NA	NA	NA	NA	NA	0.961	1.012	NA	0.985
PDXD1	NA	NA	NA	NA	NA	1.159	NA	NA	NA
MEAK7	NA	0.884	0.892	NA	1.059	1.159	NA	0.979	NA
PGM2L	NA	NA	NA	NA	NA	NA	NA	NA	NA
FXL19	NA	NA	NA	0.883	NA	NA	0.816	NA	NA
CTR9	NA	0.865	NA	NA	NA	NA	NA	NA	NA
VIP1	0.949	1.014	0.93	0.95	NA	1.133	0.721	0.773	0.907
PSRC1	1.203	NA	NA	1.047	NA	NA	0.969	NA	1.381
TTC37	NA	0.963	NA	NA	1.166	NA	NA	0.704	NA
CP087	NA	NA	NA	0.963	NA	NA	NA	1.049	NA
SYDM	NA	0.877	NA	0.878	NA	NA	NA	NA	NA
TTC33	0.98	NA	NA	NA	NA	NA	NA	NA	NA
NCEH1	NA	NA	NA	0.967	NA	NA	NA	NA	NA
MDEAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR59	1.083	0.952	NA	0.97	1.151	1.066	0.854	0.925	NA
ZC3HE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNST	NA	0.943	NA	NA	1.284	NA	NA	NA	NA
CC137	NA	NA	NA	NA	NA	NA	NA	NA	NA
LARP1	NA	NA	NA	NA	NA	NA	NA	NA	1.377
ATAD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRAF7	1.242	0.798	1.159	0.97	NA	1.294	NA	NA	NA
BL1S3	1.101	0.944	0.95	0.961	1.088	1.113	0.891	0.855	1.055
BL1S2	NA	NA	NA	NA	NA	0.896	NA	NA	NA
RICTR	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR74	NA	NA	1.278	1.151	NA	NA	NA	NA	NA
ATRAP	1.083	NA	0.973	1.114	NA	NA	0.865	0.93	NA
POTEE	NA	NA	NA	NA	NA	NA	NA	NA	NA
F111B	NA	0.944	NA	NA	NA	NA	0.782	NA	NA
SMRD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
S4A10	NA	NA	NA	NA	NA	NA	NA	NA	1.112
C1TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANR11	0.959	NA	0.657	0.912	NA	0.721	0.778	NA	NA
TM270	1.039	NA	1.198	1.017	NA	1.303	0.846	NA	NA
AFTIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
FIP1	NA	NA	NA	NA	NA	NA	0.803	NA	NA
CRTC3	1.177	NA	0.952	0.928	NA	1.136	NA	NA	1.075
CRTC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSPG4	1.188	NA	0.489	NA	NA	0.487	NA	NA	NA
MOXD1	NA	0.813	1.46	NA	1.117	1.304	NA	0.785	1.355
CP20A	NA	NA	NA	NA	NA	NA	NA	0.566	1.057
TM205	0.996	0.954	0.98	0.973	1.128	1.15	0.876	0.875	1.142
LRSM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
F180A	1.225	0.891	0.82	0.965	1.118	1.105	0.794	0.81	NA
LCLT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAYN	NA	NA	NA	0.932	NA	NA	NA	1.02	NA
ELAP1	1.108	NA	1.113	0.937	1.464	1.087	NA	1.199	0.868
CREL2	0.965	1.262	0.8	0.867	NA	0.94	NA	NA	0.937
CCBE1	NA	NA	NA	NA	NA	NA	NA	0.82	NA
NPNT	NA	0.931	NA	NA	NA	NA	NA	NA	NA
WDR82	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIC27	NA	NA	NA	NA	NA	1.274	25.603	NA	NA
BI2L2	NA	NA	NA	NA	NA	0.855	NA	NA	0.895
DPP8	NA	0.916	NA	NA	1.037	NA	NA	0.863	NA
MCAF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PACS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPRIP	NA	1.148	NA	0.693	NA	NA	0.989	NA	NA
RFIP1	1.017	NA	NA	NA	NA	NA	NA	NA	NA
DNMBP	NA	0.962	NA	1.005	1.135	NA	0.942	0.911	NA
B3GLT	NA	NA	NA	NA	NA	NA	NA	NA	NA
GGYF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD109	1.371	NA	1.111	NA	0.972	1.377	NA	NA	1.348
HSDL2	1.032	0.888	NA	0.909	1.105	1.004	0.816	0.803	NA
KAT3	1.387	NA	1.053	NA	NA	1.184	NA	NA	1.192
PPR21	NA	0.793	NA	NA	NA	NA	NA	0.92	1.022
ZN783	NA	0.941	NA	NA	1.251	1.03	NA	0.987	NA
SYNE3	NA	NA	NA	NA	NA	NA	NA	NA	NA
AEBP2	NA	0.97	NA	NA	1.168	1.006	NA	0.827	NA
MBOA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CC141	NA	NA	NA	NA	NA	NA	NA	NA	5.879
CO039	NA	0.847	NA	NA	NA	1.076	NA	NA	NA
RHG36	1.14	NA	1.068	1.188	NA	1.312	NA	NA	1.172
QSOX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRCAP	NA	NA	0.826	NA	NA	NA	NA	NA	NA
RIPR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFSD6	NA	NA	NA	23.172	NA	NA	92.361	37.865	64.952
PPR3F	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGI	1.112	1.176	1.464	1.019	1.346	1.56	1.008	1.023	1.547
UBR3	NA	NA	NA	NA	NA	NA	NA	NA	NA
AN13D	1.209	NA	1.12	1.055	1.154	3.984	1.015	NA	1.224
CC121	1.172	NA	1.057	NA	1.079	1.251	0.904	0.9	1.199
CCD9B	NA	NA	1.102	NA	NA	1.194	0.934	NA	1.159
DEN5B	NA	0.977	0.914	NA	1.111	1.129	NA	0.887	1.037
SH2D5	NA	NA	1.07	1.282	NA	1.361	NA	NA	1.183
K154L	1.178	NA	0.944	1.117	1.036	1.286	NA	1.074	1.176
TM1L2	NA	NA	NA	1.136	NA	NA	0.861	0.8	NA
FBX50	NA	NA	NA	NA	NA	NA	NA	NA	NA
SYDE1	NA	NA	NA	NA	NA	0.636	NA	NA	NA
ANKS3	NA	1.027	1.11	NA	NA	1.179	NA	NA	1.227
MBOA2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMTC3	1.096	0.925	1.549	1.023	1.076	1.038	0.94	0.902	1.069
VP13C	NA	NA	NA	NA	1.23	NA	NA	0.924	NA
ACD11	NA	NA	0.93	NA	NA	0.909	NA	NA	NA
RAPH1	NA	1.006	0.926	NA	1.976	1.128	NA	NA	0.981
CHSS3	1.178	0.954	NA	NA	1.072	NA	NA	0.83	NA
CR3L2	0.96	NA	1.025	0.893	1.094	1.174	0.941	0.838	1.16
IKIP	1.043	0.94	NA	0.884	1.039	NA	0.835	0.879	NA
UB2R2	1.066	0.998	0.93	0.73	NA	0.983	0.787	NA	1.086
H32	1.128	NA	NA	2.682	NA	1.303	0.825	NA	NA
CENPU	NA	NA	NA	NA	NA	NA	NA	NA	NA
MD13L	1.005	NA	NA	NA	NA	NA	0.879	NA	NA
LARP4	1.133	1.005	0.907	0.971	1.157	1.049	0.93	1.084	1.026
TBA1A	NA	0.982	NA	NA	NA	NA	NA	NA	NA
H2AV	1.067	NA	1.089	0.706	NA	1.418	0.801	NA	1.387
RS27L	NA	NA	NA	NA	NA	NA	NA	NA	NA
HAKAI	1.055	NA	0.949	0.953	NA	NA	0.856	NA	NA
MTSS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRNP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NOL8	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSH2	NA	0.972	0.832	NA	1.112	1.125	0.83	0.873	1.037
ASXL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCD80	1.043	NA	NA	0.942	1.05	1.306	0.879	0.834	NA
BT2A1	1.803	NA	NA	0.957	1.045	NA	NA	NA	NA
SPT6H	NA	NA	1.061	NA	NA	1.431	NA	NA	1.37
SND1	1.339	NA	0.999	1.004	1.129	1.116	0.884	0.894	1.207
MARK2	NA	0.85	NA	NA	NA	NA	NA	0.889	NA
DDX46	1.085	1.034	0.937	0.892	NA	1.887	1.372	NA	1.709
SV2A	NA	0.903	NA	0.906	1.056	NA	0.872	0.849	NA
TM10C	NA	NA	NA	0.637	0.919	NA	1.048	NA	NA
BZW1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MON1B	NA	NA	NA	0.945	NA	NA	NA	NA	NA
KCTD9	NA	NA	1.397	NA	NA	NA	NA	NA	NA
DHX30	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF3M	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEPCE	0.986	0.833	0.932	0.863	1.085	1.137	0.792	0.864	NA
CD37L	NA	1.092	NA	NA	NA	NA	NA	NA	NA
RSRC2	1.166	0.897	NA	0.953	NA	NA	0.855	NA	NA
RRAGA	1.107	0.92	0.942	0.932	1.118	1.16	0.908	0.849	1.117
CYFP1	1.135	0.942	0.995	0.965	1.102	1.136	0.872	0.854	1.191
NDUF7	1.155	NA	NA	0.955	NA	NA	0.881	NA	NA
GET4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSN6	0.942	NA	NA	NA	NA	NA	NA	NA	NA
ENOF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAEA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAOK1	NA	NA	1.301	NA	NA	2.304	NA	NA	2.454
RFIP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
3BP5L	1.147	0.98	NA	0.939	1.02	1.43	0.874	0.896	2.392
KDM3B	NA	NA	0.975	NA	NA	1.006	NA	NA	NA
CHM1B	NA	NA	NA	NA	NA	18.039	NA	NA	NA
HS2ST	NA	NA	NA	NA	NA	NA	NA	NA	NA
MICA3	NA	0.728	NA	NA	1.1	NA	NA	0.668	NA
DYM	NA	1.007	NA	NA	1.071	1.702	NA	1.061	NA
PHF5A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PXL2C	NA	NA	NA	NA	NA	1.047	NA	0.869	NA
GRIN1	1.162	1.046	NA	0.846	1.134	NA	0.906	0.954	1.147
ZCCHV	1.155	0.956	NA	1.004	1.009	1.191	0.854	0.948	NA
RM21	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCLI1	1.176	0.973	NA	0.873	1.102	NA	0.793	NA	NA
TICRR	NA	0.898	NA	NA	NA	NA	NA	NA	NA
EFL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
F122B	NA	NA	NA	NA	NA	NA	NA	NA	NA
SETX	NA	0.912	NA	NA	NA	NA	NA	0.837	NA
KANL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUP54	1.217	NA	1.005	NA	NA	1.238	0.702	NA	1.078
ATG9A	0.965	0.968	NA	1.081	NA	0.837	0.563	NA	1.188
ARMC9	NA	0.898	0.924	NA	1.031	NA	NA	0.794	NA
PRIC2	NA	0.896	0.725	NA	1.162	1.116	NA	0.838	1.075
VP35L	NA	NA	2.749	NA	NA	1.037	NA	NA	1.178
RGPD4	NA	NA	NA	NA	NA	NA	0.972	NA	NA
POGZ	NA	NA	NA	NA	NA	NA	NA	NA	NA
MON2	NA	NA	NA	NA	NA	NA	NA	0.737	NA
ZN571	NA	NA	NA	0.904	NA	NA	0.906	NA	NA
K1C25	NA	NA	NA	0.011	NA	0.642	NA	NA	NA
MYCPP	NA	NA	NA	NA	NA	NA	NA	0.794	NA
MYH14	1.043	NA	NA	0.922	NA	1.299	0.7	NA	NA
NUFP2	1.225	0.976	0.844	0.884	1.106	1.016	0.854	0.942	NA
SZRD1	NA	NA	NA	NA	NA	1.517	NA	NA	1.307
MAVS	1.46	1.113	NA	1.081	1.297	1.068	0.973	0.931	NA
CP2U1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLAP1	1.211	NA	0.976	NA	NA	1.125	1.059	NA	1.057
DHX29	NA	NA	0.473	NA	NA	0.392	0.575	NA	6.517
LRP10	1.155	1.029	NA	0.919	1.055	2.866	0.789	0.846	1.213
HDDC2	NA	NA	1.111	NA	NA	NA	NA	NA	NA
HAUS6	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLGT3	NA	NA	NA	NA	1.037	NA	NA	NA	NA
HEAT3	NA	NA	NA	0.978	NA	NA	NA	NA	NA
HDGR2	1.256	0.992	1.028	1.05	1.471	1.14	0.934	1.044	1.114
BRAP	NA	NA	NA	NA	1.233	NA	NA	0.903	NA
EMSY	NA	0.964	NA	NA	0.919	NA	0.686	0.907	1.157
RHG22	1.123	0.942	0.978	0.964	1.127	1.128	0.845	0.853	1.122
RAI1	1.158	NA	NA	NA	1.024	NA	0.829	NA	NA
WAPL	NA	NA	NA	0.971	NA	NA	0.861	NA	NA
I2BP2	1.079	0.907	NA	NA	NA	1.343	NA	NA	NA
AB1IP	NA	NA	NA	NA	NA	NA	NA	NA	1.95
ARHG8	1.117	0.96	NA	0.929	1.26	NA	0.968	NA	NA
SPRE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRGP1	1.007	NA	NA	NA	NA	4.609	NA	NA	4.24
RBBP6	NA	NA	NA	NA	NA	NA	NA	NA	NA
SH3R1	1.077	0.906	0.907	0.883	NA	1.079	NA	NA	1.172
GRASP	1.179	1.043	1.089	1.029	1.136	1.197	0.927	0.939	1.202
FGD2	NA	0.954	NA	0.629	1.073	NA	0.53	0.893	NA
THAP5	NA	NA	NA	NA	NA	2.375	NA	NA	NA
PTAR1	1.273	1.006	1.04	0.888	NA	1.33	0.806	NA	6.299
ARPIN	NA	NA	1.17	NA	NA	1.145	0.893	NA	1.384
HUWE1	1.237	0.991	NA	1.157	1.071	NA	0.687	0.942	NA
YTHD3	1.107	NA	NA	0.945	NA	NA	0.843	NA	NA
CNTRL	NA	NA	NA	NA	NA	NA	NA	NA	NA
PXK	1.178	1.038	NA	1.021	1.198	1.32	1	0.906	NA
FLIP1	NA	0.858	NA	NA	NA	NA	0.677	0.986	NA
UB2Q1	1.816	NA	NA	1.127	1.316	NA	1.084	NA	NA
RM55	0.63	0.907	0.833	NA	NA	1.042	0.895	0.752	1.237
TMED4	1.223	NA	1.076	NA	NA	1.152	NA	NA	1.085
RM10	1.017	1.199	0.965	NA	NA	3.998	NA	NA	1.072
CK096	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALT5	NA	NA	NA	NA	NA	NA	NA	NA	NA
T179B	1.168	NA	NA	0.891	NA	NA	0.924	1.013	NA
GALT7	5.064	NA	NA	4.005	NA	10.221	5.767	NA	9.311
AMGO2	NA	NA	NA	NA	NA	NA	0.79	NA	NA
PHLB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SDCG8	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLRX5	1.073	NA	1.002	0.928	NA	1.12	0.761	0.927	1.155
PP4P1	NA	1.044	NA	NA	NA	NA	NA	NA	NA
DAAM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PATL1	NA	0.766	NA	NA	0.96	NA	NA	0.763	NA
TBCD1	NA	NA	NA	NA	NA	NA	0.874	NA	NA
DPP9	NA	NA	NA	0.916	0.953	NA	0.939	0.888	NA
SYVN1	NA	0.883	NA	NA	1.131	NA	NA	0.885	NA
TRPT1	NA	0.951	NA	NA	NA	NA	NA	NA	NA
SETD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC7B	NA	0.888	NA	NA	1.043	1.057	NA	0.86	NA
ACOT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM23	NA	NA	1.143	NA	NA	NA	NA	NA	1.677
NOP9	NA	NA	NA	NA	NA	NA	NA	NA	2.96
PABP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTA70	NA	NA	NA	NA	NA	NA	NA	NA	NA
PB1	1.153	0.947	0.863	NA	1.058	1.096	NA	0.784	0.985
YRDC	NA	NA	1.076	1.003	NA	1.125	NA	NA	1.178
PRP39	NA	NA	NA	NA	1.006	1.097	NA	NA	NA
LYRIC	0.823	NA	NA	0.896	NA	NA	0.863	NA	NA
TLK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPAT4	NA	NA	NA	NA	NA	1.281	NA	NA	NA
MAGI2	NA	0.718	1.204	NA	1.196	NA	NA	1.007	NA
KTN1	1.473	NA	NA	1.065	1.081	NA	NA	NA	NA
RIMS1	NA	NA	NA	NA	NA	NA	NA	NA	1.045
EST1A	0.961	0.968	0.871	0.875	1.073	1.166	0.823	NA	1.139
BCL9L	1.071	1.471	0.834	NA	NA	0.795	0.84	NA	0.953
PHLB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBP48	1.147	1.059	1.142	0.977	1.045	1.274	0.923	0.887	1.293
AACS	NA	NA	NA	NA	NA	NA	NA	NA	NA
LUZP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
THOC4	1.099	0.96	NA	0.949	1.066	NA	0.865	0.896	NA
IQGA3	NA	0.94	NA	NA	0.97	1.126	NA	NA	NA
ZCH18	NA	NA	0.98	NA	NA	0.958	0.809	NA	1.009
VPS36	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAXB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PACS2	NA	1.026	NA	0.983	1.135	NA	0.743	NA	NA
CAND1	NA	NA	NA	NA	NA	1.142	NA	NA	NA
GLCI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RETR3	NA	NA	NA	NA	NA	NA	NA	NA	3.097
HOOK3	NA	0.954	0.973	1.105	1.169	1.243	1.005	0.853	1.252
COMD7	NA	NA	NA	NA	NA	NA	NA	NA	NA
MON1A	NA	1.151	NA	NA	NA	NA	NA	NA	1.099
TSYL5	1.134	NA	0.911	0.986	NA	0.934	0.892	NA	1.087
T200A	NA	0.941	1.094	0.913	1.108	1.175	0.751	0.853	1.183
THOC6	NA	NA	NA	NA	NA	NA	0.872	NA	NA
MET16	NA	NA	NA	0.95	NA	NA	NA	NA	NA
PARG	NA	NA	NA	NA	NA	NA	0.71	NA	NA
LIPB1	NA	0.934	1.313	0.931	NA	1.221	0.767	NA	1.265
LONP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NIPA	1.04	0.955	NA	0.927	1.167	NA	0.859	0.897	NA
OSTM1	NA	0.88	NA	NA	NA	NA	NA	0.89	NA
FCSD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPBP1	NA	NA	1.01	4.708	NA	1.319	0.964	NA	1.188
CCD25	NA	0.843	NA	NA	0.984	0.835	NA	0.964	NA
PRSR2	0.98	NA	NA	NA	NA	NA	NA	NA	NA
STING	NA	NA	37.595	NA	NA	NA	NA	NA	NA
CDR2L	1.054	1.095	1.041	1.004	1.224	1.19	0.923	0.974	1.051
RGPS2	NA	1.301	NA	0.872	NA	0.824	NA	NA	0.789
ERIC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CARM1	NA	1.007	NA	NA	NA	NA	NA	NA	NA
NIT1	NA	0.931	NA	0.865	NA	NA	NA	NA	NA
COMD2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CIR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HTR5A	NA	NA	NA	0.793	NA	NA	NA	NA	1.43
MICU3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNDG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GA2L3	NA	NA	3.539	NA	NA	3.251	NA	NA	3.014
ANKL2	NA	NA	0.875	NA	NA	1.084	NA	NA	NA
MEX3D	1.079	NA	NA	0.978	NA	NA	0.901	NA	NA
DGKH	1.321	NA	3.566	8.681	NA	3.948	NA	NA	4.343
DDX42	1.195	0.973	1.175	0.996	1.094	1.452	0.88	0.88	1.057
NDUAB	NA	NA	12.076	NA	NA	12.057	NA	NA	12.005
K2C73	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAAF5	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTH	NA	NA	NA	0.85	1.096	1.25	0.835	0.882	NA
STX12	NA	NA	NA	NA	NA	NA	NA	NA	NA
P66A	1.147	NA	1.121	0.917	NA	1.245	0.69	NA	1.293
GPSM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB43	1.235	1.208	2.764	1.132	NA	4.604	0.891	NA	4.83
C2CD5	1.069	NA	1.148	1.126	NA	1.329	NA	NA	NA
HPS6	NA	NA	NA	60.927	NA	NA	NA	27.213	NA
HORN	1.085	0.942	NA	NA	0.993	NA	0.862	0.83	NA
HIPK1	NA	NA	NA	NA	NA	NA	19.988	NA	NA
CC125	NA	NA	0.907	NA	NA	1.585	NA	NA	NA
TMC8	1.176	NA	0.967	1.108	NA	1.025	NA	NA	0.994
I2BP1	1.186	0.928	NA	0.797	1.105	NA	0.811	NA	NA
RB6I2	1.074	0.881	NA	1.074	0.95	1.263	0.751	0.799	1.114
H2A2B	NA	NA	1.052	NA	NA	1.174	NA	NA	1.264
CRLF3	NA	NA	1.642	NA	NA	2.387	2.122	NA	2.283
TPPC5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMTC1	0.918	NA	NA	NA	1.171	1.05	NA	NA	NA
ARMC8	NA	NA	NA	NA	NA	NA	NA	NA	NA
RELL1	0.911	1.38	0.517	0.946	1.704	0.862	0.903	1.468	0.881
AEBP1	1.179	NA	NA	0.977	NA	1.351	NA	NA	1.338
PLD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKY2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYSM2	1.092	0.935	1.114	0.861	1.057	1.257	0.937	0.99	1.157
NUDC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
AHNK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIAM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FMNL3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXP4	NA	NA	NA	NA	NA	NA	NA	NA	NA
M4K3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAV3	NA	NA	NA	NA	NA	1.315	NA	NA	NA
NAV2	NA	NA	5.329	NA	NA	6.527	NA	NA	6.271
P3H3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCD50	NA	NA	1.04	NA	NA	1.155	NA	NA	1.217
FUND1	NA	0.752	NA	NA	1.018	NA	NA	0.864	NA
KSR1	1.783	0.627	NA	NA	NA	10.959	1.238	NA	NA
LOXH1	NA	NA	0.627	NA	NA	0.721	NA	NA	0.697
F219A	NA	NA	0.191	NA	NA	NA	NA	NA	NA
WDR75	1.252	NA	0.438	0.99	NA	NA	0.872	NA	NA
MFN1	1.211	1.061	NA	0.959	1.16	NA	0.969	0.911	NA
CTL2	1.108	0.923	0.899	0.955	1.053	1.085	0.885	0.84	1.056
WDFY1	NA	0.858	0.975	NA	1.174	1.212	NA	0.8	NA
MA7D3	NA	NA	1.031	NA	NA	1.205	NA	NA	0.286
NXP20	NA	NA	0.893	NA	NA	NA	NA	NA	NA
MGAP	1.093	NA	NA	NA	NA	NA	NA	NA	NA
GCC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Z3H7A	NA	NA	NA	1.028	NA	NA	0.822	NA	NA
PHF6	NA	NA	NA	0.688	NA	NA	0.84	NA	NA
ARCH	NA	0.831	NA	NA	NA	NA	NA	NA	NA
CUL9	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRC8A	NA	NA	1.018	NA	NA	1.17	NA	NA	1.154
UBR1	1.043	0.945	NA	0.982	1.087	NA	0.968	NA	0.98
RHG12	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHERP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDAN1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKH1	0.841	NA	1.033	NA	NA	1.105	0.819	NA	1.077
SUGP1	NA	NA	NA	NA	NA	NA	0.811	NA	NA
SUGP2	NA	NA	NA	NA	NA	1.617	NA	NA	NA
UEVLD	NA	NA	NA	NA	NA	1.006	NA	NA	1.078
CCAR1	NA	NA	NA	0.894	NA	NA	0.842	NA	NA
SKA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DJC10	NA	0.881	NA	NA	NA	1.029	NA	0.833	NA
MIRO2	NA	0.936	1.181	NA	1.043	1.094	NA	0.839	NA
MIRO1	NA	0.916	0.967	NA	1.052	1.215	NA	0.888	NA
SIR2	1.171	NA	NA	0.956	1.079	NA	0.776	0.818	NA
PHC2	1.276	1.128	NA	1.198	NA	NA	0.958	0.678	NA
MSRB3	NA	NA	NA	NA	NA	0.774	NA	NA	NA
BAP18	NA	NA	3.445	1.413	NA	3.525	NA	NA	3.471
RM41	NA	NA	1.001	NA	1.058	1.186	NA	0.825	1.046
CI040	NA	NA	NA	NA	NA	0.917	NA	NA	NA
GPAM1	1.248	1.03	0.969	1.126	1.117	1.115	0.949	1.023	1.086
RB12B	NA	0.865	NA	NA	NA	NA	NA	NA	NA
ZC3H3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLPL6	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMC5	NA	NA	NA	NA	NA	NA	NA	NA	4.088
PLPP6	NA	NA	NA	NA	NA	NA	0.74	NA	NA
IFT20	NA	NA	NA	NA	NA	NA	NA	NA	NA
MILK2	1.08	0.947	1.035	0.897	1.017	1.246	0.869	0.867	1.309
DHX37	1.135	0.97	0.949	0.99	1.127	1.069	0.897	0.911	1.032
