"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SH3R1" 0.134666666666666 0.977818981481481 2.39022289774072 0.0708208982074661 1 -3.81124640455849
"NRBF2" -0.180433333333333 0.79720787037037 -2.34398914288049 0.0746410526450176 1 -3.82289119515312
"DOP2" -0.161688888888889 1.0712404265873 -2.21692813083913 0.0664449932708486 1 -3.8293156729091
"DDX46" 0.55195 1.26946388888889 2.26093230152615 0.0703707505271145 1 -3.8315451945284
"HEXA" 0.2945 1.047 2.95254609764783 0.0834945272877947 1 -3.83781525524702
"PYGL" 0.1975 1.00390634920635 2.51347251912742 0.0792999237653584 1 -3.85245144290413
"PKCB1" -0.43205 1.21458277777778 -2.50779682224222 0.0797231029897473 1 -3.85546784947382
"ELF4" -0.258549999999999 1.29167291666667 -2.8930697865893 0.0868062817995561 1 -3.85663613335984
"EXOS5" -0.334916666666667 0.932339583333333 -2.84847229138564 0.0894073883921898 1 -3.87115403087338
"PRC2A" -0.172333333333333 0.974773015873016 -2.46565956471025 0.082950766275894 1 -3.87807694479076
"EMD" 0.217783333333333 1.05091111111111 2.82138934057708 0.0910386637434109 1 -3.88014380679818
"TRI37" 21.7084333333333 7.94632962962963 189.111035173205 0.000802947560353019 0.683576023047203 -3.89437034464858
"NUP35" 10.9701 6.67305 95.565024665694 0.00193527613219501 1 -3.8946068101382
"REEP5" -6.00953333333333 4.07086666666667 -52.3515010099553 0.00420318861858498 1 -3.89534680647258
"SYYM" 5.6477 2.84975277777778 49.1994229591745 0.0045533327730792 1 -3.89548651250335
"PPHLN" 5.52746666666667 4.35034166666667 48.1520212522039 0.0046813483751331 1 -3.89553910763819
"MFS4B" 4.92046666666667 2.978675 42.864196166555 0.00543828025842759 1 -3.89586604987634
"SRGP1" 3.25043333333333 3.19101944444444 28.3158532441996 0.00927652195209132 1 -3.89789613011869
"SF3B5" -0.2325 1.16430634920635 -2.42766385525994 0.0859957688609418 1 -3.8987890527675
"PODXL" 2.87746666666667 5.704675 25.0667881764717 0.0108523985218826 1 -3.89888772243358
"GGH" 2.67746666666667 4.16000833333333 23.324506434907 0.0119066940726449 1 -3.89959704184485
"OFD1" 2.55646666666667 3.44600833333333 22.2704259812604 0.0126367190527251 1 -3.90010874488552
"PCBP2" -2.44453333333333 4.71436666666667 -21.2953289665647 0.0133859788434307 1 -3.90065083577085
"PCD18" 2.06746666666667 1.350675 18.0105471231347 0.0166040177239141 1 -3.9031631362366
"INT3" 2.02246666666667 2.058675 17.6185337312827 0.0170803763188913 1 -3.90355916210588
"TOM5" 1.97646666666667 1.783675 17.2178089307228 0.0175929553995034 1 -3.90399195059548
"DCTD" -1.89453333333333 2.34000833333333 -16.5040541772618 0.0185765480735331 1 -3.90484136924642
"HBG1" 1.69346666666667 2.403675 14.7524802664088 0.0214555894424056 1 -3.90746508496382
"VP35L" -1.68853333333333 1.60534166666667 -14.7095039834502 0.021536091511029 1 -3.90754128973514
"PSD12" 0.308683333333333 0.842485714285714 2.74117228212342 0.0961126933446452 1 -3.90755956492362
"PLXB2" 1.58846666666667 1.57400833333333 13.8377823520873 0.0232924668318316 1 -3.9092408830827
"TTC12" -1.58253333333333 1.63100833333333 -13.7860946604209 0.02340456595413 1 -3.9093517209835
"COA7" 1.53746666666667 1.49736666666667 13.3935005079883 0.0242882096087188 1 -3.91023513374688
"MK03" -0.103622222222222 1.01606186067019 -2.13083193781199 0.0690340428139076 1 -3.91222522325692
"ATG7" -0.334766666666667 1.03522242063492 -2.22786275048407 0.0852851686537126 1 -3.917232768998
"EIF3L" 1.23246666666667 1.37631851851852 10.7365208521021 0.0322407058406151 1 -3.91891212918588
"ROA0" 1.14243333333333 1.26068611111111 9.95220368810777 0.0355235186486519 1 -3.92284492100866
